Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
52.814,13.202,14.846,17.743,11.152,26.808,21.993,18.471,25.861,17.250,29.159,29.712,13.886,11.931,8.932,7.960,6.904,8.027,9.173,10.095,7.750,6.451,8.162
52.640,14.065,13.971,16.357,11.714,24.318,22.950,20.843,27.949,17.896,27.523,26.962,17.750,12.403,7.773,6.532,6.750,7.196,8.096,10.107,8.583,4.971,7.596
53.988,12.524,12.606,16.729,11.098,25.073,22.236,17.729,28.620,16.062,29.432,30.938,11.114,12.014,7.932,8.129,6.048,7.061,9.087,7.226,7.646,6.147,8.287
50.942,13.194,14.558,18.886,11.661,24.146,22.321,21.886,27.190,14.344,28.273,29.362,13.114,10.861,7.182,7.387,6.375,7.115,9.731,10.726,6.625,5.892,9.471
53.477,13.306,14.692,16.943,10.179,24.490,26.957,18.957,27.000,16.969,27.432,30.175,15.409,10.778,10.386,8.726,7.548,7.020,11.212,12.190,8.156,5.951,8.096
55.372,14.597,16.567,14.271,11.116,25.093,23.971,18.543,26.165,17.500,24.227,28.350,16.455,11.431,8.682,8.952,8.750,8.473,10.231,11.083,7.750,6.902,9.912
55.733,12.903,14.538,16.214,11.688,24.517,25.400,16.600,29.949,18.396,25.318,30.587,15.227,9.778,10.386,9.306,8.490,8.277,10.231,9.060,8.698,5.765,9.044
55.302,11.508,15.029,16.814,10.036,22.106,23.929,18.629,28.532,16.990,29.659,27.250,12.977,10.278,7.545,9.500,6.596,7.257,9.692,9.940,8.094,7.431,8.456
53.198,13.532,14.875,15.214,12.089,22.364,22.121,19.086,26.911,16.542,27.114,29.913,14.364,12.361,8.886,9.339,8.308,7.027,9.577,9.821,8.802,5.902,8.404
54.547,13.960,13.750,18.886,10.679,22.113,24.743,18.400,28.911,19.552,23.250,28.200,16.773,11.806,6.273,9.734,7.231,6.649,11.202,7.286,8.938,6.196,7.184
50.477,12.234,14.538,16.071,10.536,24.437,24.879,17.743,28.506,17.490,22.341,31.888,15.409,9.222,8.955,10.565,5.500,5.642,9.721,9.595,8.010,6.078,7.360
52.314,12.581,15.413,16.457,9.982,22.636,24.164,19.214,29.013,17.625,27.318,27.737,16.614,10.875,6.068,10.597,6.385,5.520,11.173,8.060,8.875,6.784,9.221
52.302,13.645,15.029,14.971,10.839,23.907,22.957,17.486,26.494,16.292,21.545,29.575,15.250,10.597,8.455,11.427,6.000,4.811,11.654,8.917,8.708,6.255,8.801
